configuration,group,omitted_concept,sample,source_file,e2e_latency_s,throughput_tokens_s,completion_tokens,output_sha256_12
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,13,run_15.json,6.580839396,19.450406294,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,14,run_16.json,6.536835432,19.581340441,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,15,run_17.json,6.652382374,19.241227098,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,16,run_18.json,6.576413631,19.463495938,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,17,run_19.json,6.562832355,19.503774143,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,18,run_20.json,6.769680023,18.907836052,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,19,run_21.json,6.628969908,19.309184048,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,20,run_22.json,6.720956087,19.044909436,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,21,run_23.json,6.740813494,18.988806042,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,22,run_24.json,6.753630877,18.952768124,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,23,run_25.json,6.743374348,18.981594881,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,24,run_26.json,6.754853249,18.949338393,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,25,run_27.json,6.578317881,19.457861770,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,26,run_28.json,6.705515385,19.088763899,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,27,run_29.json,6.534979582,19.586901290,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,28,run_30.json,6.528680325,19.605799892,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,29,run_31.json,6.540816784,19.569421408,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,30,run_32.json,6.575138330,19.467271039,128,68e10a82edac
